inventory_id,product_id,inventory_date,opening_stock,units_received,units_sold,units_returned,closing_stock
INV0000001,PROD00001,2025-01-28,56,70,123,3,6
INV0000002,PROD00001,2025-02-28,6,70,79,3,0
INV0000003,PROD00001,2025-03-28,0,70,73,3,0
INV0000004,PROD00001,2025-04-28,0,70,73,3,0
INV0000005,PROD00001,2025-05-28,0,70,73,3,0
INV0000006,PROD00001,2025-06-28,0,70,73,3,0
INV0000007,PROD00001,2025-07-28,0,70,73,3,0
INV0000008,PROD00001,2025-08-28,0,70,73,3,0
INV0000009,PROD00001,2025-09-28,0,70,73,3,0
INV0000010,PROD00001,2025-10-28,0,70,73,3,0
INV0000011,PROD00001,2025-11-28,0,70,73,3,0
INV0000012,PROD00001,2025-12-28,0,77,85,8,0
INV0000013,PROD00002,2025-01-28,71,180,102,2,151
INV0000014,PROD00002,2025-02-28,151,180,102,2,231
INV0000015,PROD00002,2025-03-28,231,180,102,2,311
INV0000016,PROD00002,2025-04-28,311,180,102,2,391
INV0000017,PROD00002,2025-05-28,391,180,102,2,471
INV0000018,PROD00002,2025-06-28,471,180,102,2,551
INV0000019,PROD00002,2025-07-28,551,180,102,2,631
INV0000020,PROD00002,2025-08-28,631,180,102,2,711
INV0000021,PROD00002,2025-09-28,711,180,102,2,791
INV0000022,PROD00002,2025-10-28,791,180,102,2,871
INV0000023,PROD00002,2025-11-28,871,180,102,2,951
INV0000024,PROD00002,2025-12-28,951,191,110,6,1038
INV0000025,PROD00003,2025-01-28,53,160,110,3,106
INV0000026,PROD00003,2025-02-28,106,160,110,3,159
INV0000027,PROD00003,2025-03-28,159,160,110,3,212
INV0000028,PROD00003,2025-04-28,212,160,110,3,265
INV0000029,PROD00003,2025-05-28,265,160,110,3,318
INV0000030,PROD00003,2025-06-28,318,160,110,3,371
INV0000031,PROD00003,2025-07-28,371,160,110,3,424
INV0000032,PROD00003,2025-08-28,424,160,110,3,477
INV0000033,PROD00003,2025-09-28,477,160,110,3,530
INV0000034,PROD00003,2025-10-28,530,160,110,3,583
INV0000035,PROD00003,2025-11-28,583,160,110,3,636
INV0000036,PROD00003,2025-12-28,636,166,112,11,701
INV0000037,PROD00004,2025-01-28,155,133,101,2,189
INV0000038,PROD00004,2025-02-28,189,133,101,2,223
INV0000039,PROD00004,2025-03-28,223,133,101,2,257
INV0000040,PROD00004,2025-04-28,257,133,101,2,291
INV0000041,PROD00004,2025-05-28,291,133,101,2,325
INV0000042,PROD00004,2025-06-28,325,133,101,2,359
INV0000043,PROD00004,2025-07-28,359,133,101,2,393
INV0000044,PROD00004,2025-08-28,393,133,101,2,427
INV0000045,PROD00004,2025-09-28,427,133,101,2,461
INV0000046,PROD00004,2025-10-28,461,133,101,2,495
INV0000047,PROD00004,2025-11-28,495,133,101,2,529
INV0000048,PROD00004,2025-12-28,529,137,106,13,573
INV0000049,PROD00005,2025-01-28,117,0,117,2,2
INV0000050,PROD00005,2025-02-28,2,0,4,2,0
INV0000051,PROD00005,2025-03-28,0,0,2,2,0
INV0000052,PROD00005,2025-04-28,0,0,2,2,0
INV0000053,PROD00005,2025-05-28,0,0,2,2,0
INV0000054,PROD00005,2025-06-28,0,0,2,2,0
INV0000055,PROD00005,2025-07-28,0,0,2,2,0
INV0000056,PROD00005,2025-08-28,0,0,2,2,0
INV0000057,PROD00005,2025-09-28,0,0,2,2,0
INV0000058,PROD00005,2025-10-28,0,0,2,2,0
INV0000059,PROD00005,2025-11-28,0,0,2,2,0
INV0000060,PROD00005,2025-12-28,0,0,7,7,0
INV0000061,PROD00006,2025-01-28,82,25,110,3,0
INV0000062,PROD00006,2025-02-28,0,25,28,3,0
INV0000063,PROD00006,2025-03-28,0,25,28,3,0
INV0000064,PROD00006,2025-04-28,0,25,28,3,0
INV0000065,PROD00006,2025-05-28,0,25,28,3,0
INV0000066,PROD00006,2025-06-28,0,25,28,3,0
INV0000067,PROD00006,2025-07-28,0,25,28,3,0
INV0000068,PROD00006,2025-08-28,0,25,28,3,0
INV0000069,PROD00006,2025-09-28,0,25,28,3,0
INV0000070,PROD00006,2025-10-28,0,25,28,3,0
INV0000071,PROD00006,2025-11-28,0,25,28,3,0
INV0000072,PROD00006,2025-12-28,0,29,36,7,0
INV0000073,PROD00007,2025-01-28,152,27,110,0,69
INV0000074,PROD00007,2025-02-28,69,27,96,0,0
INV0000075,PROD00007,2025-03-28,0,27,27,0,0
INV0000076,PROD00007,2025-04-28,0,27,27,0,0
INV0000077,PROD00007,2025-05-28,0,27,27,0,0
INV0000078,PROD00007,2025-06-28,0,27,27,0,0
INV0000079,PROD00007,2025-07-28,0,27,27,0,0
INV0000080,PROD00007,2025-08-28,0,27,27,0,0
INV0000081,PROD00007,2025-09-28,0,27,27,0,0
INV0000082,PROD00007,2025-10-28,0,27,27,0,0
INV0000083,PROD00007,2025-11-28,0,27,27,0,0
INV0000084,PROD00007,2025-12-28,0,37,45,8,0
INV0000085,PROD00008,2025-01-28,139,329,117,4,355
INV0000086,PROD00008,2025-02-28,355,329,117,4,571
INV0000087,PROD00008,2025-03-28,571,329,117,4,787
INV0000088,PROD00008,2025-04-28,787,329,117,4,1003
INV0000089,PROD00008,2025-05-28,1003,329,117,4,1219
INV0000090,PROD00008,2025-06-28,1219,329,117,4,1435
INV0000091,PROD00008,2025-07-28,1435,329,117,4,1651
INV0000092,PROD00008,2025-08-28,1651,329,117,4,1867
INV0000093,PROD00008,2025-09-28,1867,329,117,4,2083
INV0000094,PROD00008,2025-10-28,2083,329,117,4,2299
INV0000095,PROD00008,2025-11-28,2299,329,117,4,2515
INV0000096,PROD00008,2025-12-28,2515,340,127,14,2742
INV0000097,PROD00009,2025-01-28,156,81,113,2,126
INV0000098,PROD00009,2025-02-28,126,81,113,2,96
INV0000099,PROD00009,2025-03-28,96,81,113,2,66
