order_item_id,order_id,product_id,quantity,unit_price,discount_amount
ITEM0000001,ORD000001,PROD00023,1,66.1,8.13
ITEM0000002,ORD000001,PROD00251,5,142.85,52.28
ITEM0000003,ORD000001,PROD00088,1,31.21,4.16
ITEM0000004,ORD000001,PROD00370,7,17.34,12.17
ITEM0000005,ORD000001,PROD00041,6,18.82,15.35
ITEM0000006,ORD000002,PROD00415,1,175.17,8.01
ITEM0000007,ORD000002,PROD00271,3,186.12,82.08
ITEM0000008,ORD000002,PROD00359,2,228.31,51.17
ITEM0000009,ORD000003,PROD00164,4,138.75,35.14
ITEM0000010,ORD000004,PROD00216,1,137.73,4.23
ITEM0000011,ORD000005,PROD00273,4,69.18,3.01
ITEM0000012,ORD000006,PROD00316,2,30.56,7.21
ITEM0000013,ORD000007,PROD00043,4,80.75,14.39
ITEM0000014,ORD000007,PROD00275,2,61.49,13.02
ITEM0000015,ORD000007,PROD00193,2,70.94,13.45
ITEM0000016,ORD000007,PROD00113,9,101.19,123.86
ITEM0000017,ORD000008,PROD00232,8,126.25,93.03
ITEM0000018,ORD000008,PROD00233,7,127.44,37.01
ITEM0000019,ORD000008,PROD00238,9,154.94,195.86
ITEM0000020,ORD000008,PROD00249,7,190.35,78.41
ITEM0000021,ORD000009,PROD00032,2,33.73,7.31
ITEM0000022,ORD000009,PROD00228,4,25.27,8.51
ITEM0000023,ORD000009,PROD00347,8,81.51,75.54
ITEM0000024,ORD000009,PROD00365,1,40.16,3.93
ITEM0000025,ORD000010,PROD00404,10,157.23,5.44
ITEM0000026,ORD000010,PROD00476,5,37.98,26.77
ITEM0000027,ORD000011,PROD00373,4,66.6,29.03
ITEM0000028,ORD000011,PROD00294,2,72.62,0.92
ITEM0000029,ORD000012,PROD00071,7,129.48,40.15
ITEM0000030,ORD000012,PROD00159,1,41.1,0.32
ITEM0000031,ORD000012,PROD00160,9,205.14,12.97
ITEM0000032,ORD000012,PROD00060,9,47.92,37.85
ITEM0000033,ORD000012,PROD00360,7,112.05,80.55
ITEM0000034,ORD000013,PROD00441,7,99.27,90.81
ITEM0000035,ORD000013,PROD00469,8,56.1,22.56
ITEM0000036,ORD000013,PROD00052,6,49.27,12.94
ITEM0000037,ORD000013,PROD00487,6,48.73,8.88
ITEM0000038,ORD000014,PROD00369,4,114.06,37.6
ITEM0000039,ORD000015,PROD00057,7,29.53,0.15
ITEM0000040,ORD000015,PROD00162,2,225.07,42.52
ITEM0000041,ORD000015,PROD00299,9,118.42,90.15
ITEM0000042,ORD000015,PROD00176,7,45.64,3.75
ITEM0000043,ORD000015,PROD00471,6,25.55,19.45
ITEM0000044,ORD000016,PROD00342,2,128.8,17.1
ITEM0000045,ORD000017,PROD00236,9,120.44,1.5
ITEM0000046,ORD000017,PROD00121,7,127.34,27.13
ITEM0000047,ORD000017,PROD00040,9,153.95,3.39
ITEM0000048,ORD000017,PROD00204,3,152.4,49.22
ITEM0000049,ORD000018,PROD00038,5,46.82,5.51
ITEM0000050,ORD000019,PROD00480,8,120.13,19.46
ITEM0000051,ORD000019,PROD00415,1,175.17,23.9
ITEM0000052,ORD000020,PROD00033,1,200.11,11.73
ITEM0000053,ORD000020,PROD00291,2,161.17,23.08
ITEM0000054,ORD000020,PROD00491,10,77.63,44.38
