order_id,customer_id,order_date,order_status,sales_channel,delivery_method,shipping_region
ORD000001,CUST03122,2025-06-29 04:18:00,Completed,Online,Home Delivery,East of England
ORD000002,CUST03919,2026-01-19 20:35:00,Completed,Online,Home Delivery,South West
ORD000003,CUST00774,2025-10-15 09:04:00,Completed,Online,Courier,Northern Ireland
ORD000004,CUST02903,2026-06-05 09:58:00,Partially Fulfilled,Online,Home Delivery,West Midlands
ORD000005,CUST00825,2026-06-06 18:10:00,Partially Fulfilled,Trade Counter,Click & Collect,South West
ORD000006,CUST03001,2025-02-08 20:30:00,Completed,Online,Courier,East of England
ORD000007,CUST04898,2025-07-01 00:31:00,Completed,Online,Home Delivery,Yorkshire & Humber
ORD000008,CUST02826,2025-03-13 06:06:00,Completed,Online,Courier,South East
ORD000009,CUST03625,2025-02-09 06:03:00,Completed,Online,Courier,North East
ORD000010,CUST04750,2025-08-31 16:32:00,Partially Fulfilled,Marketplace,Courier,East Midlands
ORD000011,CUST03810,2025-05-03 14:58:00,Completed,Online,Courier,South West
ORD000012,CUST01528,2026-07-19 16:28:00,Completed,Online,Click & Collect,East of England
ORD000013,CUST04775,2025-05-25 15:24:00,Completed,Marketplace,Click & Collect,North West
ORD000014,CUST00142,2025-04-10 10:38:00,Partially Fulfilled,Online,Home Delivery,London
ORD000015,CUST01992,2026-02-23 08:32:00,Completed,Online,Courier,South East
ORD000016,CUST01402,2026-05-16 16:23:00,Completed,Online,Courier,East Midlands
ORD000017,CUST01216,2025-08-25 16:57:00,Completed,Online,Courier,East of England
ORD000018,CUST03555,2026-01-19 16:52:00,Completed,Trade Counter,Home Delivery,North East
ORD000019,CUST00437,2025-04-29 18:11:00,Completed,Marketplace,Home Delivery,West Midlands
ORD000020,CUST01194,2025-04-28 05:34:00,Completed,Online,Courier,Wales
ORD000021,CUST00931,2026-05-28 12:45:00,Completed,Online,Courier,East of England
ORD000022,CUST02469,2025-07-14 00:37:00,Cancelled,Online,Courier,North East
ORD000023,CUST02291,2026-07-16 16:46:00,Completed,Marketplace,Click & Collect,Wales
ORD000024,CUST02482,2025-07-23 12:58:00,Completed,Trade Counter,Home Delivery,Wales
ORD000025,CUST00543,2025-04-11 12:51:00,Completed,Online,Home Delivery,London
ORD000026,CUST02261,2025-07-01 18:52:00,Cancelled,Marketplace,Courier,London
ORD000027,CUST01321,2026-05-10 22:29:00,Completed,Online,Home Delivery,East of England
ORD000028,CUST02667,2025-01-20 12:42:00,Completed,Online,Home Delivery,Wales
ORD000029,CUST02000,2026-02-09 19:53:00,Completed,Trade Counter,Home Delivery,North West
ORD000030,CUST03538,2025-06-23 02:55:00,Completed,Online,Home Delivery,London
ORD000031,CUST01649,2025-12-18 15:05:00,Completed,Online,Click & Collect,London
ORD000032,CUST01726,2025-07-27 17:57:00,Completed,Marketplace,Click & Collect,Yorkshire & Humber
ORD000033,CUST00854,2025-06-03 23:06:00,Completed,Trade Counter,Home Delivery,South West
ORD000034,CUST04299,2025-03-20 00:16:00,Completed,Online,Courier,East of England
ORD000035,CUST00035,2025-01-26 14:33:00,Completed,Online,Click & Collect,South East
ORD000036,CUST01382,2026-03-16 16:38:00,Partially Fulfilled,Online,Click & Collect,South West
ORD000037,CUST04803,2026-01-07 22:03:00,Completed,Marketplace,Courier,London
ORD000038,CUST03953,2026-02-02 06:48:00,Completed,Online,Courier,West Midlands
ORD000039,CUST02263,2026-05-10 19:35:00,Completed,Online,Click & Collect,Wales
ORD000040,CUST01449,2025-02-11 01:23:00,Completed,Online,Home Delivery,South West
ORD000041,CUST00837,2025-03-04 07:17:00,Completed,Online,Home Delivery,North West
ORD000042,CUST04072,2026-07-02 15:08:00,Completed,Marketplace,Home Delivery,South West
ORD000043,CUST00939,2025-01-19 20:21:00,Completed,Online,Click & Collect,South West
ORD000044,CUST02019,2025-06-18 02:42:00,Completed,Online,Home Delivery,North West
ORD000045,CUST04890,2025-08-24 16:27:00,Completed,Online,Home Delivery,South West
ORD000046,CUST00142,2026-02-14 03:06:00,Completed,Online,Home Delivery,London
ORD000047,CUST02512,2025-11-22 20:12:00,Completed,Online,Courier,East Midlands
ORD000048,CUST03361,2025-03-21 22:29:00,Completed,Trade Counter,Click & Collect,North East
ORD000049,CUST01519,2026-02-07 06:53:00,Completed,Online,Click & Collect,East of England
ORD000050,CUST03949,2025-03-16 23:42:00,Completed,Trade Counter,Courier,London
ORD000051,CUST03469,2025-03-30 16:57:00,Completed,Online,Courier,Yorkshire & Humber
ORD000052,CUST04603,2025-09-17 02:09:00,Pending,Trade Counter,Courier,East Midlands
ORD000053,CUST00334,2025-02-07 13:12:00,Completed,Online,Courier,East Midlands
ORD000054,CUST03914,2026-02-10 16:44:00,Partially Fulfilled,Marketplace,Home Delivery,Yorkshire & Humber
ORD000055,CUST02767,2025-11-13 13:26:00,Completed,Online,Home Delivery,South East
ORD000056,CUST04435,2026-02-22 04:00:00,Completed,Online,Courier,West Midlands
ORD000057,CUST03614,2026-02-06 12:26:00,Completed,Online,Courier,South West
ORD000058,CUST02626,2025-08-07 17:04:00,Completed,Online,Home Delivery,Scotland
ORD000059,CUST02298,2026-05-30 05:10:00,Completed,Online,Courier,South West
ORD000060,CUST00684,2025-01-23 08:18:00,Completed,Online,Home Delivery,North West
ORD000061,CUST01039,2025-11-15 17:15:00,Pending,Online,Click & Collect,South West
ORD000062,CUST02181,2026-01-17 09:11:00,Cancelled,Marketplace,Home Delivery,East Midlands
ORD000063,CUST04199,2025-10-09 12:09:00,Completed,Online,Courier,Scotland
ORD000064,CUST04849,2026-05-24 17:36:00,Completed,Online,Click & Collect,Yorkshire & Humber
ORD000065,CUST01625,2025-06-12 02:34:00,Completed,Online,Home Delivery,South West
ORD000066,CUST02861,2026-03-18 18:52:00,Completed,Marketplace,Courier,Yorkshire & Humber
ORD000067,CUST02320,2026-03-19 03:27:00,Completed,Online,Courier,South East
ORD000068,CUST04717,2025-05-21 15:54:00,Completed,Online,Home Delivery,Yorkshire & Humber
ORD000069,CUST03451,2025-01-19 11:37:00,Completed,Trade Counter,Click & Collect,East Midlands
ORD000070,CUST03919,2025-04-25 13:14:00,Partially Fulfilled,Online,Courier,South West
ORD000071,CUST00244,2025-12-03 09:21:00,Completed,Marketplace,Home Delivery,North East
ORD000072,CUST02287,2025-06-28 14:31:00,Completed,Trade Counter,Home Delivery,East of England
ORD000073,CUST03631,2025-02-08 03:24:00,Completed,Online,Home Delivery,Northern Ireland
ORD000074,CUST03497,2025-02-02 15:24:00,Completed,Online,Home Delivery,South East
ORD000075,CUST00548,2025-07-08 05:24:00,Completed,Marketplace,Courier,North West
ORD000076,CUST03505,2026-02-08 02:23:00,Completed,Online,Click & Collect,West Midlands
ORD000077,CUST00531,2025-05-20 12:22:00,Completed,Online,Home Delivery,West Midlands
ORD000078,CUST03791,2025-09-11 17:38:00,Completed,Online,Home Delivery,South West
ORD000079,CUST01357,2025-02-12 23:17:00,Completed,Online,Courier,Northern Ireland
ORD000080,CUST01402,2026-03-17 09:35:00,Completed,Online,Click & Collect,East Midlands
ORD000081,CUST00314,2025-04-06 20:35:00,Completed,Online,Courier,East of England
ORD000082,CUST03545,2026-05-16 09:13:00,Completed,Online,Click & Collect,London
ORD000083,CUST04447,2026-02-21 20:54:00,Completed,Online,Courier,Wales
ORD000084,CUST02265,2025-09-17 18:58:00,Completed,Online,Home Delivery,South West
ORD000085,CUST02152,2026-07-02 13:04:00,Pending,Online,Click & Collect,East of England
ORD000086,CUST00263,2026-02-23 10:18:00,Completed,Marketplace,Home Delivery,London
ORD000087,CUST00023,2025-06-04 21:40:00,Completed,Marketplace,Courier,London
ORD000088,CUST04817,2025-07-08 15:44:00,Completed,Trade Counter,Click & Collect,Northern Ireland
ORD000089,CUST02529,2025-11-30 11:06:00,Completed,Marketplace,Click & Collect,East of England
ORD000090,CUST04108,2025-10-03 17:32:00,Completed,Online,Home Delivery,North West
ORD000091,CUST02038,2025-09-10 17:25:00,Pending,Online,Courier,East of England
ORD000092,CUST02263,2025-10-08 02:08:00,Completed,Online,Courier,Wales
ORD000093,CUST02958,2025-06-19 20:55:00,Completed,Online,Courier,Yorkshire & Humber
ORD000094,CUST01523,2026-02-25 00:07:00,Completed,Online,Click & Collect,Scotland
ORD000095,CUST01834,2025-02-28 23:27:00,Completed,Online,Home Delivery,South West
ORD000096,CUST03644,2026-05-11 06:24:00,Completed,Online,Courier,West Midlands
ORD000097,CUST00407,2025-03-17 19:46:00,Completed,Online,Home Delivery,Wales
ORD000098,CUST02631,2025-08-30 10:46:00,Completed,Online,Click & Collect,North West
ORD000099,CUST02452,2026-02-19 08:20:00,Completed,Marketplace,Click & Collect,East of England
ORD000100,CUST03198,2026-06-20 16:47:00,Cancelled,Marketplace,Courier,Wales
ORD000101,CUST03972,2026-01-30 18:41:00,Completed,Online,Click & Collect,North West
ORD000102,CUST03530,2025-05-14 21:59:00,Completed,Online,Home Delivery,Wales
ORD000103,CUST02757,2025-01-07 21:45:00,Partially Fulfilled,Online,Home Delivery,North East
ORD000104,CUST04818,2026-07-24 12:37:00,Completed,Online,Courier,Scotland
ORD000105,CUST00354,2025-06-28 05:36:00,Completed,Marketplace,Click & Collect,London
ORD000106,CUST00568,2026-04-23 16:07:00,Completed,Online,Click & Collect,North West
ORD000107,CUST01601,2025-12-26 22:17:00,Completed,Online,Courier,North West
ORD000108,CUST02559,2025-01-26 04:37:00,Completed,Marketplace,Home Delivery,North East
ORD000109,CUST01588,2025-07-26 21:39:00,Completed,Online,Courier,South East
ORD000110,CUST03195,2025-07-26 11:12:00,Completed,Online,Home Delivery,Yorkshire & Humber
ORD000111,CUST00471,2026-02-25 01:02:00,Completed,Online,Click & Collect,Northern Ireland
ORD000112,CUST04782,2026-03-17 11:57:00,Completed,Online,Home Delivery,London
ORD000113,CUST01308,2026-03-13 22:24:00,Completed,Online,Courier,North East
ORD000114,CUST02009,2025-03-19 17:57:00,Completed,Online,Courier,Yorkshire & Humber
ORD000115,CUST02228,2025-08-17 23:33:00,Completed,Online,Home Delivery,South West
ORD000116,CUST03655,2026-04-07 02:51:00,Completed,Online,Click & Collect,Scotland
ORD000117,CUST01031,2026-05-07 05:56:00,Completed,Online,Courier,Yorkshire & Humber
ORD000118,CUST03012,2026-01-17 02:54:00,Completed,Online,Courier,Northern Ireland
ORD000119,CUST02502,2025-03-17 03:08:00,Completed,Online,Courier,Yorkshire & Humber
ORD000120,CUST01625,2026-02-06 16:44:00,Completed,Trade Counter,Courier,South West
ORD000121,CUST00112,2025-07-21 21:42:00,Completed,Marketplace,Courier,Yorkshire & Humber
ORD000122,CUST04668,2025-05-24 05:49:00,Completed,Marketplace,Courier,London
ORD000123,CUST03291,2025-02-07 19:30:00,Completed,Online,Click & Collect,North West
