payment_id,order_id,payment_date,payment_method,payment_status,amount
PAY0000001,ORD000001,2025-06-29 04:18:00,Card,Paid,953.77
PAY0000002,ORD000002,2026-01-19 20:35:00,Google Pay,Paid,1048.89
PAY0000003,ORD000003,2025-10-15 09:04:00,PayPal,Paid,519.86
PAY0000004,ORD000004,2026-06-05 09:58:00,Card,Paid,133.5
PAY0000005,ORD000005,2026-06-06 18:10:00,Card,Pending,273.71
PAY0000006,ORD000006,2025-02-08 20:30:00,Card,Paid,53.91
PAY0000007,ORD000007,2025-07-01 00:31:00,Card,Paid,1333.85
PAY0000008,ORD000008,2025-03-13 06:06:00,Card,Paid,4224.68
PAY0000009,ORD000009,2025-02-09 06:03:00,Apple Pay,Paid,765.49
PAY0000010,ORD000010,2025-08-31 16:32:00,Google Pay,Pending,1729.99
PAY0000011,ORD000011,2025-05-03 14:58:00,Google Pay,Paid,381.69
PAY0000012,ORD000012,2026-07-19 16:28:00,Apple Pay,Paid,3837.51
PAY0000013,ORD000013,2025-05-25 15:24:00,PayPal,Paid,1596.5
PAY0000014,ORD000014,2025-04-10 10:38:00,PayPal,Paid,418.64
PAY0000015,ORD000015,2026-02-23 08:32:00,Bank Transfer,Paid,2039.39
PAY0000016,ORD000016,2026-05-16 16:23:00,Card,Paid,240.5
PAY0000017,ORD000017,2025-08-25 16:57:00,Apple Pay,Paid,3736.85
PAY0000018,ORD000018,2026-01-19 16:52:00,Bank Transfer,Paid,228.59
PAY0000019,ORD000019,2025-04-29 18:11:00,Card,Paid,1092.85
PAY0000020,ORD000020,2025-04-28 05:34:00,Card,Paid,1289.84
PAY0000021,ORD000021,2026-05-28 12:45:00,Card,Paid,1353.4
PAY0000022,ORD000023,2026-07-16 16:46:00,Card,Paid,1078.0
PAY0000023,ORD000024,2025-07-23 12:58:00,PayPal,Paid,72.0
PAY0000024,ORD000025,2025-04-11 12:51:00,Bank Transfer,Paid,1111.68
PAY0000025,ORD000027,2026-05-10 22:29:00,PayPal,Paid,1346.33
PAY0000026,ORD000028,2025-01-20 12:42:00,Card,Paid,1755.66
PAY0000027,ORD000029,2026-02-09 19:53:00,Card,Paid,279.89
PAY0000028,ORD000030,2025-06-23 02:55:00,Card,Paid,485.79
PAY0000029,ORD000031,2025-12-18 15:05:00,Card,Paid,2876.37
PAY0000030,ORD000032,2025-07-27 17:57:00,Bank Transfer,Paid,486.68
PAY0000031,ORD000033,2025-06-03 23:06:00,Card,Paid,1963.88
PAY0000032,ORD000034,2025-03-20 00:16:00,Card,Paid,3505.78
PAY0000033,ORD000035,2025-01-26 14:33:00,Card,Paid,903.68
PAY0000034,ORD000036,2026-03-16 16:38:00,Bank Transfer,Pending,1481.7
PAY0000035,ORD000037,2026-01-07 22:03:00,Card,Paid,2534.13
PAY0000036,ORD000038,2026-02-02 06:48:00,Google Pay,Paid,3395.93
PAY0000037,ORD000039,2026-05-10 19:35:00,Card,Paid,859.82
PAY0000038,ORD000040,2025-02-11 01:23:00,Card,Paid,2678.06
PAY0000039,ORD000041,2025-03-04 07:17:00,Card,Paid,622.23
PAY0000040,ORD000042,2026-07-02 15:08:00,Apple Pay,Paid,4857.73
PAY0000041,ORD000043,2025-01-19 20:21:00,Apple Pay,Paid,1162.43
PAY0000042,ORD000044,2025-06-18 02:42:00,Bank Transfer,Paid,548.7
PAY0000043,ORD000045,2025-08-24 16:27:00,Card,Paid,1852.38
PAY0000044,ORD000046,2026-02-14 03:06:00,Bank Transfer,Paid,2299.1
PAY0000045,ORD000047,2025-11-22 20:12:00,Google Pay,Paid,665.98
PAY0000046,ORD000048,2025-03-21 22:29:00,Card,Paid,603.79
PAY0000047,ORD000049,2026-02-07 06:53:00,Card,Paid,2531.0
PAY0000048,ORD000050,2025-03-16 23:42:00,Google Pay,Paid,1772.43
PAY0000049,ORD000051,2025-03-30 16:57:00,PayPal,Paid,1591.43
PAY0000050,ORD000052,2025-09-17 02:09:00,Card,Pending,663.87
PAY0000051,ORD000053,2025-02-07 13:12:00,Google Pay,Paid,1235.11
PAY0000052,ORD000054,2026-02-10 16:44:00,Card,Paid,1319.99
PAY0000053,ORD000055,2025-11-13 13:26:00,Card,Paid,1432.51
PAY0000054,ORD000056,2026-02-22 04:00:00,Google Pay,Paid,875.39
PAY0000055,ORD000057,2026-02-06 12:26:00,Google Pay,Paid,2209.47
PAY0000056,ORD000058,2025-08-07 17:04:00,Card,Paid,1254.39
PAY0000057,ORD000059,2026-05-30 05:10:00,Card,Paid,3383.43
PAY0000058,ORD000060,2025-01-23 08:18:00,Bank Transfer,Paid,1964.39
PAY0000059,ORD000061,2025-11-15 17:15:00,PayPal,Paid,1385.12
PAY0000060,ORD000063,2025-10-09 12:09:00,Card,Paid,4123.54
PAY0000061,ORD000064,2026-05-24 17:36:00,PayPal,Paid,2740.96
PAY0000062,ORD000065,2025-06-12 02:34:00,PayPal,Paid,961.06
PAY0000063,ORD000066,2026-03-18 18:52:00,Bank Transfer,Paid,1937.62
PAY0000064,ORD000067,2026-03-19 03:27:00,Card,Paid,3594.91
PAY0000065,ORD000068,2025-05-21 15:54:00,Bank Transfer,Paid,141.54
PAY0000066,ORD000069,2025-01-19 11:37:00,PayPal,Paid,175.36
PAY0000067,ORD000070,2025-04-25 13:14:00,Card,Paid,599.55
PAY0000068,ORD000071,2025-12-03 09:21:00,Card,Paid,1399.04
PAY0000069,ORD000072,2025-06-28 14:31:00,Card,Paid,1455.66
PAY0000070,ORD000073,2025-02-08 03:24:00,PayPal,Paid,2915.83
PAY0000071,ORD000074,2025-02-02 15:24:00,Card,Paid,1925.94
PAY0000072,ORD000075,2025-07-08 05:24:00,Card,Paid,1580.11
PAY0000073,ORD000076,2026-02-08 02:23:00,Bank Transfer,Paid,545.9
PAY0000074,ORD000077,2025-05-20 12:22:00,Card,Paid,1036.94
PAY0000075,ORD000078,2025-09-11 17:38:00,Card,Paid,1862.1
PAY0000076,ORD000079,2025-02-12 23:17:00,Card,Paid,842.38
