purchase_order_id,supplier_id,product_id,order_date,expected_delivery_date,quantity_ordered,unit_cost,purchase_order_status
PO000001,SUP00014,PROD00029,2025-11-03,2025-12-29,418,51.68,In Transit
PO000002,SUP00003,PROD00121,2025-03-03,2025-04-07,911,72.97,Received
PO000003,SUP00034,PROD00227,2025-04-30,2025-05-02,507,17.79,Received
PO000004,SUP00031,PROD00300,2025-02-18,2025-03-22,702,70.93,Received
PO000005,SUP00014,PROD00138,2026-04-14,2026-06-09,727,97.02,Received
PO000006,SUP00016,PROD00051,2025-08-08,2025-09-27,439,34.94,Received
PO000007,SUP00037,PROD00128,2025-06-01,2025-06-07,876,104.87,Received
PO000008,SUP00001,PROD00126,2026-05-05,2026-06-10,330,93.41,Received
PO000009,SUP00032,PROD00053,2026-02-07,2026-03-12,76,7.39,Received
PO000010,SUP00031,PROD00008,2026-02-12,2026-03-16,882,82.27,Received
PO000011,SUP00035,PROD00381,2025-11-29,2025-12-02,421,41.86,Cancelled
PO000012,SUP00022,PROD00314,2025-10-03,2025-11-03,853,40.55,Received
PO000013,SUP00014,PROD00396,2026-03-04,2026-04-29,581,56.43,Cancelled
PO000014,SUP00007,PROD00454,2026-05-23,2026-07-05,491,83.65,Received
PO000015,SUP00018,PROD00257,2025-12-28,2026-02-04,282,71.31,Received
PO000016,SUP00005,PROD00402,2025-04-18,2025-06-05,562,25.74,In Transit
PO000017,SUP00004,PROD00456,2025-09-29,2025-11-14,977,89.96,Received
PO000018,SUP00011,PROD00449,2025-10-22,2025-12-02,112,117.78,Received
PO000019,SUP00031,PROD00008,2025-09-19,2025-10-21,589,82.27,Received
PO000020,SUP00010,PROD00105,2026-06-28,2026-08-15,870,68.47,Cancelled
PO000021,SUP00029,PROD00418,2025-04-26,2025-05-25,333,64.11,Cancelled
PO000022,SUP00032,PROD00279,2025-10-07,2025-11-09,774,24.11,Received
PO000023,SUP00034,PROD00227,2025-11-04,2025-11-06,136,17.79,Received
PO000024,SUP00014,PROD00096,2025-08-27,2025-10-22,921,28.02,Received
PO000025,SUP00025,PROD00385,2026-05-25,2026-07-02,651,54.67,Cancelled
PO000026,SUP00007,PROD00454,2026-03-05,2026-04-17,132,83.65,Received
PO000027,SUP00001,PROD00376,2025-09-05,2025-10-11,218,54.85,Received
PO000028,SUP00039,PROD00247,2026-06-26,2026-07-01,552,83.95,Received
PO000029,SUP00019,PROD00066,2025-05-10,2025-07-08,673,72.1,In Transit
PO000030,SUP00039,PROD00050,2026-07-02,2026-07-07,221,41.44,In Transit
PO000031,SUP00012,PROD00114,2026-07-25,2026-09-05,490,39.01,Received
PO000032,SUP00025,PROD00272,2026-02-27,2026-04-06,94,100.94,Received
PO000033,SUP00005,PROD00217,2025-08-11,2025-09-28,530,68.1,Received
PO000034,SUP00036,PROD00201,2025-06-02,2025-06-10,614,77.04,In Transit
PO000035,SUP00020,PROD00333,2025-06-01,2025-07-24,713,105.32,Received
PO000036,SUP00024,PROD00265,2026-02-22,2026-03-28,790,108.21,Received
PO000037,SUP00016,PROD00487,2025-08-12,2025-10-01,916,39.95,Received
PO000038,SUP00023,PROD00353,2025-07-14,2025-08-11,735,110.39,Received
PO000039,SUP00029,PROD00482,2026-04-11,2026-05-10,78,104.72,Received
PO000040,SUP00040,PROD00329,2026-05-27,2026-06-03,864,11.94,Received
PO000041,SUP00011,PROD00316,2025-10-21,2025-12-01,441,16.56,In Transit
PO000042,SUP00023,PROD00359,2025-01-24,2025-02-21,526,119.24,In Transit
PO000043,SUP00039,PROD00076,2026-07-07,2026-07-12,241,93.93,Received
PO000044,SUP00001,PROD00175,2026-06-13,2026-07-19,420,17.42,Received
PO000045,SUP00014,PROD00033,2025-11-25,2026-01-20,542,115.17,Received
PO000046,SUP00007,PROD00371,2025-09-13,2025-10-26,950,75.2,Received
PO000047,SUP00023,PROD00345,2026-07-21,2026-08-18,110,115.31,Received
PO000048,SUP00007,PROD00462,2025-03-09,2025-04-21,985,92.41,Received
PO000049,SUP00033,PROD00184,2025-04-11,2025-04-13,369,72.08,Received
PO000050,SUP00018,PROD00148,2026-05-22,2026-06-29,431,40.81,Received
PO000051,SUP00014,PROD00131,2025-06-30,2025-08-25,225,18.56,Received
PO000052,SUP00010,PROD00082,2025-08-20,2025-10-07,75,91.06,Received
PO000053,SUP00006,PROD00167,2026-04-12,2026-05-30,607,113.33,Received
PO000054,SUP00040,PROD00256,2025-09-01,2025-09-08,876,46.23,Received
PO000055,SUP00028,PROD00395,2026-04-14,2026-05-10,736,52.64,Received
PO000056,SUP00032,PROD00328,2026-04-18,2026-05-21,953,46.99,In Transit
PO000057,SUP00004,PROD00174,2025-05-04,2025-06-19,860,101.09,In Transit
