return_id,order_id,product_id,return_date,quantity_returned,return_reason,refund_amount,return_status
RET000001,ORD016473,PROD00335,2025-05-14,5,Wrong Item,932.95,Approved
RET000002,ORD040297,PROD00126,2025-08-21,3,Changed Mind,506.43,Approved
RET000003,ORD022025,PROD00359,2026-05-20,4,Changed Mind,913.24,Approved
RET000004,ORD006898,PROD00266,2026-02-28,1,Not as Described,197.62,Approved
RET000005,ORD025776,PROD00193,2025-08-27,8,Damaged,567.52,Approved
RET000006,ORD049029,PROD00446,2025-09-01,5,Not as Described,393.15,Approved
RET000007,ORD042687,PROD00133,2025-08-08,2,Changed Mind,31.46,Approved
RET000008,ORD006482,PROD00422,2025-07-03,3,Quality Issue,388.2,Approved
RET000009,ORD032653,PROD00202,2025-07-24,1,Wrong Item,20.81,Approved
RET000010,ORD017996,PROD00271,2025-10-27,1,Quality Issue,186.12,Approved
RET000011,ORD028347,PROD00463,2025-09-13,2,Changed Mind,52.2,Approved
RET000012,ORD041950,PROD00061,2025-06-16,3,Late Delivery,574.56,Approved
RET000013,ORD017278,PROD00242,2025-05-23,1,Not as Described,118.75,Approved
RET000014,ORD046672,PROD00016,2026-02-04,4,Changed Mind,87.52,Approved
RET000015,ORD027575,PROD00220,2025-02-25,2,Quality Issue,141.96,Approved
RET000016,ORD019800,PROD00296,2025-03-25,5,Damaged,47.85,Rejected
RET000017,ORD034346,PROD00267,2025-01-31,4,Damaged,718.6,Approved
RET000018,ORD002018,PROD00209,2025-05-21,1,Quality Issue,67.02,Approved
RET000019,ORD015299,PROD00243,2025-03-19,2,Damaged,257.04,Approved
RET000020,ORD038138,PROD00305,2025-03-09,1,Damaged,21.16,Approved
RET000021,ORD033601,PROD00169,2025-06-16,7,Quality Issue,1268.12,Approved
RET000022,ORD000080,PROD00500,2025-12-24,1,Damaged,9.16,Approved
RET000023,ORD001449,PROD00446,2026-04-25,1,Not as Described,78.63,Approved
RET000024,ORD037095,PROD00114,2026-06-10,7,Not as Described,352.03,Approved
RET000025,ORD003189,PROD00371,2026-06-19,3,Changed Mind,271.26,Approved
RET000026,ORD017264,PROD00487,2025-05-21,3,Late Delivery,146.19,Pending
RET000027,ORD032353,PROD00448,2025-09-21,5,Wrong Item,195.3,Approved
RET000028,ORD018325,PROD00020,2026-06-09,6,Other,455.4,Approved
RET000029,ORD001185,PROD00386,2025-04-04,4,Wrong Item,206.16,Approved
RET000030,ORD046279,PROD00285,2025-05-03,1,Quality Issue,160.48,Approved
RET000031,ORD003616,PROD00051,2025-10-26,5,Wrong Item,282.85,Pending
RET000032,ORD025134,PROD00053,2026-05-22,3,Damaged,34.47,Rejected
RET000033,ORD025403,PROD00040,2026-06-21,4,Late Delivery,615.8,Approved
RET000034,ORD027779,PROD00220,2026-02-16,2,Quality Issue,141.96,Approved
RET000035,ORD042344,PROD00124,2025-07-28,1,Quality Issue,51.14,Approved
RET000036,ORD048939,PROD00413,2026-06-04,4,Changed Mind,190.32,Approved
RET000037,ORD026960,PROD00177,2026-04-27,4,Changed Mind,671.32,Approved
RET000038,ORD009308,PROD00277,2025-02-22,4,Changed Mind,115.16,Approved
RET000039,ORD021771,PROD00141,2025-08-06,1,Late Delivery,7.3,Pending
RET000040,ORD038169,PROD00224,2026-01-31,3,Damaged,277.98,Approved
RET000041,ORD031127,PROD00335,2025-05-02,10,Changed Mind,1865.9,Approved
RET000042,ORD043339,PROD00227,2025-12-23,2,Not as Described,70.18,Approved
RET000043,ORD032714,PROD00232,2026-03-09,8,Late Delivery,1010.0,Approved
RET000044,ORD005169,PROD00388,2025-08-16,4,Damaged,183.32,Approved
RET000045,ORD037677,PROD00490,2025-11-01,3,Wrong Item,457.98,Pending
RET000046,ORD013002,PROD00328,2026-01-06,8,Changed Mind,600.8,Approved
RET000047,ORD040722,PROD00350,2025-07-26,6,Not as Described,593.1,Approved
RET000048,ORD018800,PROD00336,2026-07-12,8,Damaged,1120.64,Approved
RET000049,ORD020667,PROD00432,2025-10-19,4,Quality Issue,267.12,Approved
RET000050,ORD022942,PROD00122,2026-01-03,1,Wrong Item,79.1,Approved
RET000051,ORD016125,PROD00194,2025-03-30,3,Quality Issue,424.56,Approved
RET000052,ORD045325,PROD00117,2025-08-26,5,Late Delivery,761.95,Approved
RET000053,ORD007432,PROD00225,2025-03-29,1,Damaged,107.74,Pending
RET000054,ORD017365,PROD00499,2026-03-12,8,Changed Mind,885.12,Approved
RET000055,ORD041705,PROD00022,2025-02-06,2,Quality Issue,278.14,Approved
RET000056,ORD011797,PROD00104,2025-03-09,2,Changed Mind,354.5,Pending
RET000057,ORD046805,PROD00072,2025-02-02,2,Quality Issue,63.56,Approved
RET000058,ORD026624,PROD00248,2025-10-25,4,Not as Described,81.04,Approved
RET000059,ORD010385,PROD00331,2026-03-10,4,Other,611.16,Approved
RET000060,ORD000159,PROD00111,2025-02-01,7,Damaged,927.29,Approved
RET000061,ORD039527,PROD00291,2025-03-17,2,Damaged,322.34,Approved
RET000062,ORD044414,PROD00464,2026-06-18,5,Late Delivery,560.2,Approved
RET000063,ORD044908,PROD00144,2025-04-09,1,Quality Issue,112.05,Approved
RET000064,ORD005896,PROD00235,2025-05-15,4,Damaged,399.04,Approved
RET000065,ORD006016,PROD00170,2026-07-23,1,Damaged,205.51,Approved
RET000066,ORD021914,PROD00248,2026-05-28,7,Other,141.82,Approved
RET000067,ORD045922,PROD00419,2025-09-20,2,Damaged,250.04,Pending
RET000068,ORD041590,PROD00371,2026-07-12,3,Not as Described,271.26,Approved
RET000069,ORD009356,PROD00232,2025-07-06,8,Late Delivery,1010.0,Approved
RET000070,ORD040913,PROD00172,2025-03-23,2,Late Delivery,81.1,Approved
RET000071,ORD016527,PROD00333,2026-03-10,3,Damaged,481.65,Rejected
RET000072,ORD014186,PROD00039,2025-07-04,5,Other,637.6,Approved
RET000073,ORD016418,PROD00029,2025-07-17,9,Damaged,708.84,Approved
RET000074,ORD015157,PROD00217,2025-10-01,2,Not as Described,254.84,Pending
RET000075,ORD014573,PROD00487,2025-08-11,4,Not as Described,194.92,Approved
RET000076,ORD021668,PROD00020,2025-05-07,2,Late Delivery,151.8,Approved
RET000077,ORD004817,PROD00365,2025-06-14,3,Not as Described,120.48,Approved
RET000078,ORD003293,PROD00418,2025-10-28,2,Other,213.2,Approved
RET000079,ORD035313,PROD00480,2025-12-25,3,Not as Described,360.39,Approved
RET000080,ORD018730,PROD00093,2025-05-27,3,Quality Issue,235.08,Approved
RET000081,ORD001266,PROD00382,2025-12-29,7,Wrong Item,763.28,Approved
RET000082,ORD010691,PROD00086,2025-10-06,5,Other,711.75,Approved
RET000083,ORD008570,PROD00056,2026-03-02,1,Wrong Item,72.69,Approved
RET000084,ORD043771,PROD00476,2025-05-10,2,Late Delivery,75.96,Pending
RET000085,ORD035193,PROD00155,2025-10-26,1,Other,4.57,Approved
RET000086,ORD038863,PROD00219,2025-11-12,1,Quality Issue,61.18,Approved
RET000087,ORD009627,PROD00452,2026-06-25,7,Quality Issue,392.42,Approved
RET000088,ORD007280,PROD00286,2026-03-24,2,Other,247.58,Approved
RET000089,ORD033049,PROD00254,2026-07-11,1,Late Delivery,35.0,Approved
RET000090,ORD017124,PROD00158,2026-04-28,2,Wrong Item,247.84,Approved
RET000091,ORD010443,PROD00401,2026-06-18,2,Wrong Item,218.12,Pending
RET000092,ORD027820,PROD00378,2025-11-29,7,Quality Issue,594.86,Approved
RET000093,ORD017382,PROD00244,2026-03-13,1,Quality Issue,193.26,Approved
RET000094,ORD026164,PROD00029,2025-07-10,4,Not as Described,315.04,Pending
RET000095,ORD033108,PROD00444,2025-05-04,4,Changed Mind,873.48,Approved
RET000096,ORD020551,PROD00008,2025-12-26,5,Late Delivery,497.15,Approved
RET000097,ORD030841,PROD00399,2026-05-30,3,Wrong Item,402.75,Approved
RET000098,ORD045875,PROD00266,2025-10-08,8,Not as Described,1580.96,Approved
