shipment_id,purchase_order_id,origin_country,destination_country,shipment_date,estimated_arrival_date,actual_arrival_date,shipping_method,freight_cost,import_duty,other_import_cost,shipment_status
SHIP000001,PO001258,UK,UK,2026-02-21,2026-02-26,2026-02-26,Road Freight,3629.23,0.0,465.55,Delivered
SHIP000002,PO001118,UK,UK,2026-04-26,2026-04-21,2026-04-21,Courier,1949.61,0.0,480.8,Delivered
SHIP000003,PO001849,India,UK,2026-07-29,2026-08-19,2026-08-19,Air Freight,656.07,513.7,119.84,Delivered
SHIP000004,PO001598,China,UK,2025-10-05,2025-11-15,2025-11-15,Air Freight,4333.83,1301.44,173.08,Delivered
SHIP000005,PO001998,UK,UK,2025-08-21,2025-08-21,2025-08-21,Courier,4337.74,0.0,400.81,Delivered
SHIP000006,PO001888,China,UK,2025-03-07,2025-04-22,2025-04-23,Air Freight,239.82,105.91,229.47,Delivered
SHIP000007,PO000627,UK,UK,2025-06-11,2025-06-10,2025-06-10,Courier,2882.65,0.0,210.49,Delivered
SHIP000008,PO001532,China,UK,2026-04-05,2026-05-29,2026-05-29,Air Freight,3790.2,686.69,404.69,Delivered
SHIP000009,PO000905,China,UK,2026-06-15,2026-07-24,2026-07-24,Sea Freight,221.39,1287.92,59.6,Delivered
SHIP000010,PO000223,China,UK,2026-07-03,2026-08-22,2026-08-22,Rail Freight,3450.61,1130.51,487.11,Delivered
SHIP000011,PO001976,India,UK,2025-08-06,2025-09-01,2025-09-08,Sea Freight,3201.38,1402.77,68.64,Delivered
SHIP000012,PO000756,UK,UK,2025-08-12,2025-08-11,2025-08-11,Courier,2053.91,0.0,423.99,Delivered
SHIP000013,PO000370,China,UK,2025-08-19,2025-10-01,2025-10-01,Sea Freight,2911.82,330.51,416.18,Delivered
SHIP000014,PO000605,India,UK,2025-03-28,2025-05-02,2025-05-02,Sea Freight,3837.87,993.33,452.61,Delivered
